Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"Error: E101
Replaced both contaminated waveguides, contaminated magnetrons and the faulty right transformer; replaced the left capacitor because there were minor dents on the case; vacuumed the EC; cleaned the stirrer area, both stirrer assemblies, the magnetron vent duct, exhaust pipe; installed the missing hardware on the partition plate. 
Performed a recommission test and a function test and the oven performed properly. The oven heated up to cooking tempreture. Test cooked a breakfast sandwich and it was fully cooked.","['test', 'contaminate', 'cook', 'magnetron', 'oven', 'area', 'assemblies', 'breakfast', 'capacitor', 'case', 'clean', 'cooking', 'dent', 'duct', 'e101replace', 'ec', 'error', 'exhaust', 'faulty', 'fully', 'function', 'hardware', 'heat', 'instal', 'leave', 'minor', 'miss', 'partition', 'perform', 'performed', 'pipe', 'plate', 'properly', 'recommission', 'replace', 'right', 'sandwich', 'stirr', 'stirrer', 'tempreture', 'transformer', 'vacuum', 'vent', 'waveguide', 'weare']","['area stirrer', 'assemblies magnetron', 'breakfast sandwich', 'capacitor weare', 'case vacuum', 'clean stirr', 'contaminate magnetron', 'contaminate waveguide', 'cook breakfast', 'cooking tempreture', 'dent case', 'duct exhaust', 'e101replace contaminate', 'ec clean', 'error e101replace', 'exhaust pipe', 'faulty right', 'fully cook', 'function test', 'hardware partition', 'heat cooking', 'instal miss', 'leave capacitor', 'magnetron faulty', 'magnetron vent', 'minor dent', 'miss hardware', 'oven heat', 'oven perform', 'partition plate', 'perform properly', 'performed recommission', 'pipe instal', 'plate performed', 'properly oven', 'recommission test', 'replace leave', 'right transformer', 'sandwich fully', 'stirr area', 'stirrer assemblies', 'tempreture test', 'test cook', 'test function', 'test oven', 'transformer replace', 'vacuum ec', 'vent duct', 'waveguide contaminate', 'weare minor']","['area stirrer assemblies', 'assemblies magnetron vent', 'breakfast sandwich fully', 'capacitor weare minor', 'case vacuum ec', 'clean stirr area', 'contaminate magnetron faulty', 'contaminate waveguide contaminate', 'cook breakfast sandwich', 'cooking tempreture test', 'dent case vacuum', 'duct exhaust pipe', 'e101replace contaminate waveguide', 'ec clean stirr', 'error e101replace contaminate', 'exhaust pipe instal', 'faulty right transformer', 'function test oven', 'hardware partition plate', 'heat cooking tempreture', 'instal miss hardware', 'leave capacitor weare', 'magnetron faulty right', 'magnetron vent duct', 'minor dent case', 'miss hardware partition', 'oven heat cooking', 'oven perform properly', 'partition plate performed', 'perform properly oven', 'performed recommission test', 'pipe instal miss', 'plate performed recommission', 'properly oven heat', 'recommission test function', 'replace leave capacitor', 'right transformer replace', 'sandwich fully cook', 'stirr area stirrer', 'stirrer assemblies magnetron', 'tempreture test cook', 'test cook breakfast', 'test function test', 'test oven perform', 'transformer replace leave', 'vacuum ec clean', 'vent duct exhaust', 'waveguide contaminate magnetron', 'weare minor dent']"
"Error: E101
Replaced both contaminated waveguides, contaminated magnetrons and the faulty right transformer; replaced the left capacitor because there were minor dents on the case; vacuumed the EC; cleaned the stirrer area, both stirrer assemblies, the magnetron vent duct, exhaust pipe; installed the missing hardware on the partition plate. 
Performed a recommission test and a function test and the oven performed properly. The oven heated up to cooking tempreture. Test cooked a breakfast sandwich and it was fully cooked.","['test', 'contaminate', 'cook', 'magnetron', 'oven', 'area', 'assemblies', 'breakfast', 'capacitor', 'case', 'clean', 'cooking', 'dent', 'duct', 'e101replace', 'ec', 'error', 'exhaust', 'faulty', 'fully', 'function', 'hardware', 'heat', 'instal', 'leave', 'minor', 'miss', 'partition', 'perform', 'performed', 'pipe', 'plate', 'properly', 'recommission', 'replace', 'right', 'sandwich', 'stirr', 'stirrer', 'tempreture', 'transformer', 'vacuum', 'vent', 'waveguide', 'weare']","['area stirrer', 'assemblies magnetron', 'breakfast sandwich', 'capacitor weare', 'case vacuum', 'clean stirr', 'contaminate magnetron', 'contaminate waveguide', 'cook breakfast', 'cooking tempreture', 'dent case', 'duct exhaust', 'e101replace contaminate', 'ec clean', 'error e101replace', 'exhaust pipe', 'faulty right', 'fully cook', 'function test', 'hardware partition', 'heat cooking', 'instal miss', 'leave capacitor', 'magnetron faulty', 'magnetron vent', 'minor dent', 'miss hardware', 'oven heat', 'oven perform', 'partition plate', 'perform properly', 'performed recommission', 'pipe instal', 'plate performed', 'properly oven', 'recommission test', 'replace leave', 'right transformer', 'sandwich fully', 'stirr area', 'stirrer assemblies', 'tempreture test', 'test cook', 'test function', 'test oven', 'transformer replace', 'vacuum ec', 'vent duct', 'waveguide contaminate', 'weare minor']","['area stirrer assemblies', 'assemblies magnetron vent', 'breakfast sandwich fully', 'capacitor weare minor', 'case vacuum ec', 'clean stirr area', 'contaminate magnetron faulty', 'contaminate waveguide contaminate', 'cook breakfast sandwich', 'cooking tempreture test', 'dent case vacuum', 'duct exhaust pipe', 'e101replace contaminate waveguide', 'ec clean stirr', 'error e101replace contaminate', 'exhaust pipe instal', 'faulty right transformer', 'function test oven', 'hardware partition plate', 'heat cooking tempreture', 'instal miss hardware', 'leave capacitor weare', 'magnetron faulty right', 'magnetron vent duct', 'minor dent case', 'miss hardware partition', 'oven heat cooking', 'oven perform properly', 'partition plate performed', 'perform properly oven', 'performed recommission test', 'pipe instal miss', 'plate performed recommission', 'properly oven heat', 'recommission test function', 'replace leave capacitor', 'right transformer replace', 'sandwich fully cook', 'stirr area stirrer', 'stirrer assemblies magnetron', 'tempreture test cook', 'test cook breakfast', 'test function test', 'test oven perform', 'transformer replace leave', 'vacuum ec clean', 'vent duct exhaust', 'waveguide contaminate magnetron', 'weare minor dent']"
"Error: E101
Replaced both contaminated waveguides, contaminated magnetrons and the faulty right transformer; replaced the left capacitor because there were minor dents on the case; vacuumed the EC; cleaned the stirrer area, both stirrer assemblies, the magnetron vent duct, exhaust pipe; installed the missing hardware on the partition plate. 
Performed a recommission test and a function test and the oven performed properly. The oven heated up to cooking tempreture. Test cooked a breakfast sandwich and it was fully cooked.","['test', 'contaminate', 'cook', 'magnetron', 'oven', 'area', 'assemblies', 'breakfast', 'capacitor', 'case', 'clean', 'cooking', 'dent', 'duct', 'e101replace', 'ec', 'error', 'exhaust', 'faulty', 'fully', 'function', 'hardware', 'heat', 'instal', 'leave', 'minor', 'miss', 'partition', 'perform', 'performed', 'pipe', 'plate', 'properly', 'recommission', 'replace', 'right', 'sandwich', 'stirr', 'stirrer', 'tempreture', 'transformer', 'vacuum', 'vent', 'waveguide', 'weare']","['area stirrer', 'assemblies magnetron', 'breakfast sandwich', 'capacitor weare', 'case vacuum', 'clean stirr', 'contaminate magnetron', 'contaminate waveguide', 'cook breakfast', 'cooking tempreture', 'dent case', 'duct exhaust', 'e101replace contaminate', 'ec clean', 'error e101replace', 'exhaust pipe', 'faulty right', 'fully cook', 'function test', 'hardware partition', 'heat cooking', 'instal miss', 'leave capacitor', 'magnetron faulty', 'magnetron vent', 'minor dent', 'miss hardware', 'oven heat', 'oven perform', 'partition plate', 'perform properly', 'performed recommission', 'pipe instal', 'plate performed', 'properly oven', 'recommission test', 'replace leave', 'right transformer', 'sandwich fully', 'stirr area', 'stirrer assemblies', 'tempreture test', 'test cook', 'test function', 'test oven', 'transformer replace', 'vacuum ec', 'vent duct', 'waveguide contaminate', 'weare minor']","['area stirrer assemblies', 'assemblies magnetron vent', 'breakfast sandwich fully', 'capacitor weare minor', 'case vacuum ec', 'clean stirr area', 'contaminate magnetron faulty', 'contaminate waveguide contaminate', 'cook breakfast sandwich', 'cooking tempreture test', 'dent case vacuum', 'duct exhaust pipe', 'e101replace contaminate waveguide', 'ec clean stirr', 'error e101replace contaminate', 'exhaust pipe instal', 'faulty right transformer', 'function test oven', 'hardware partition plate', 'heat cooking tempreture', 'instal miss hardware', 'leave capacitor weare', 'magnetron faulty right', 'magnetron vent duct', 'minor dent case', 'miss hardware partition', 'oven heat cooking', 'oven perform properly', 'partition plate performed', 'perform properly oven', 'performed recommission test', 'pipe instal miss', 'plate performed recommission', 'properly oven heat', 'recommission test function', 'replace leave capacitor', 'right transformer replace', 'sandwich fully cook', 'stirr area stirrer', 'stirrer assemblies magnetron', 'tempreture test cook', 'test cook breakfast', 'test function test', 'test oven perform', 'transformer replace leave', 'vacuum ec clean', 'vent duct exhaust', 'waveguide contaminate magnetron', 'weare minor dent']"
Called store and asked to unplug and re-plug. oven is now working fine.,"['ask', 'oven', 'replug', 'store', 'unplug', 'work']","['ask unplug', 'oven work', 'replug oven', 'store ask', 'unplug replug']","['ask unplug replug', 'replug oven work', 'store ask unplug', 'unplug replug oven']"
"Adjusted the door switches; removed the previously installed shims from the QTS; cleaned the QTS & overlay; recalibrated the touchscreen; replaced the right capacitor due to it leaking; vacuumed the EC & air filter duct; cleaned the air filter and surround; cleaned the inside of the panels. Performed a recommission test, a function test, a magnetron leak test and the oven performed properly. The oven heated up to cooking tempreture. Test cooked a double smoked bacon sandwich.","['test', 'clean', 'air', 'filter', 'leak', 'oven', 'perform', 'qts', 'adjust', 'bacon', 'capacitor', 'cook', 'cooking', 'door', 'double', 'duct', 'ec', 'function', 'heat', 'inside', 'instal', 'magnetron', 'overlay', 'panel', 'previously', 'properly', 'recalibrate', 'recommission', 'remove', 'replace', 'right', 'sandwich', 'shim', 'smoke', 'surround', 'switch', 'tempreture', 'touchscreen', 'vacuum']","['adjust door', 'air filter', 'bacon sandwich', 'capacitor leak', 'clean air', 'clean inside', 'clean qts', 'cook double', 'cooking tempreture', 'door switch', 'double smoke', 'duct clean', 'ec air', 'filter duct', 'filter surround', 'function test', 'heat cooking', 'inside panel', 'instal shim', 'leak test', 'leak vacuum', 'magnetron leak', 'oven heat', 'oven perform', 'overlay recalibrate', 'panel perform', 'perform properly', 'perform recommission', 'previously instal', 'properly oven', 'qts clean', 'qts overlay', 'recalibrate touchscreen', 'recommission test', 'remove previously', 'replace right', 'right capacitor', 'shim qts', 'smoke bacon', 'surround clean', 'switch remove', 'tempreture test', 'test cook', 'test function', 'test magnetron', 'test oven', 'touchscreen replace', 'vacuum ec']","['adjust door switch', 'air filter duct', 'air filter surround', 'capacitor leak vacuum', 'clean air filter', 'clean inside panel', 'clean qts overlay', 'cook double smoke', 'cooking tempreture test', 'door switch remove', 'double smoke bacon', 'duct clean air', 'ec air filter', 'filter duct clean', 'filter surround clean', 'function test magnetron', 'heat cooking tempreture', 'inside panel perform', 'instal shim qts', 'leak test oven', 'leak vacuum ec', 'magnetron leak test', 'oven heat cooking', 'oven perform properly', 'overlay recalibrate touchscreen', 'panel perform recommission', 'perform properly oven', 'perform recommission test', 'previously instal shim', 'properly oven heat', 'qts clean qts', 'qts overlay recalibrate', 'recalibrate touchscreen replace', 'recommission test function', 'remove previously instal', 'replace right capacitor', 'right capacitor leak', 'shim qts clean', 'smoke bacon sandwich', 'surround clean inside', 'switch remove previously', 'tempreture test cook', 'test cook double', 'test function test', 'test magnetron leak', 'test oven perform', 'touchscreen replace right', 'vacuum ec air']"
"5-29-24
Constant key press
Power cycled the oven; recalibrated the touchscreen; Performed a recommission test, a function test, a magnetron leak test and the oven performed properly. The oven heated up to cooking tempreture. The oven heated up to cooking tempreture. 
A. Tucker","['oven', 'test', 'cooking', 'heat', 'tempreture', '52924constant', 'cycle', 'function', 'key', 'leak', 'magnetron', 'perform', 'performed', 'presspower', 'properly', 'recalibrate', 'recommission', 'touchscreen', 'tucker']","['52924constant key', 'cooking tempreture', 'cycle oven', 'function test', 'heat cooking', 'key presspower', 'leak test', 'magnetron leak', 'oven heat', 'oven perform', 'oven recalibrate', 'perform properly', 'performed recommission', 'presspower cycle', 'properly oven', 'recalibrate touchscreen', 'recommission test', 'tempreture oven', 'tempreture tucker', 'test function', 'test magnetron', 'test oven', 'touchscreen performed']","['52924constant key presspower', 'cooking tempreture oven', 'cooking tempreture tucker', 'cycle oven recalibrate', 'function test magnetron', 'heat cooking tempreture', 'key presspower cycle', 'leak test oven', 'magnetron leak test', 'oven heat cooking', 'oven perform properly', 'oven recalibrate touchscreen', 'perform properly oven', 'performed recommission test', 'presspower cycle oven', 'properly oven heat', 'recalibrate touchscreen performed', 'recommission test function', 'tempreture oven heat', 'test function test', 'test magnetron leak', 'test oven perform', 'touchscreen performed recommission']"
"Right 2106213093115

Faults 
Zero 

CC
26527

Volts 
208

Amps 16.1
7.9
8.1

Heater Amps 10.1

Blower ok 
Fan ok 
Door ok 
Filter ok

Oven drops out of cook cook cycle to heat back up to operating temperature 

Replace RTD probe 
Ohm test heater element ok
Test systems and find zero faults 

Jordan / Supervisor 

Case 00449932
Mary Chef stated that the oven is unable to maintain temperature during heavy cook cycles. The temperature that it loses when the doors open between each item placed in the oven will cause it to lose heat","['cook', 'temperature', 'cycle', 'door', 'heat', 'lose', 'oven', 'zero', '00449932mary', '101blow', '1617981heater', '208amp', '2106213093115faults', 'amps', 'case', 'cc26527volts', 'chef', 'drop', 'element', 'fan', 'fault', 'filter', 'heater', 'heavy', 'item', 'jordan', 'maintain', 'ohm', 'okoven', 'okt', 'open', 'operate', 'place', 'probe', 'replace', 'right', 'rtd', 'state', 'supervisor', 'test', 'unable']","['00449932mary chef', '101blow fan', '1617981heater amps', '208amp 1617981heater', '2106213093115faults zero', 'amps 101blow', 'case 00449932mary', 'cc26527volts 208amp', 'chef state', 'cook cook', 'cook cycle', 'cycle heat', 'cycle temperature', 'door filter', 'door open', 'drop cook', 'element okt', 'fan door', 'fault jordan', 'filter okoven', 'heat operate', 'heater element', 'heavy cook', 'item place', 'jordan supervisor', 'lose door', 'lose heat', 'maintain temperature', 'ohm test', 'okoven drop', 'okt zero', 'open item', 'operate temperature', 'oven lose', 'oven unable', 'place oven', 'probe ohm', 'replace rtd', 'right 2106213093115faults', 'rtd probe', 'state oven', 'supervisor case', 'temperature heavy', 'temperature lose', 'temperature replace', 'test heater', 'unable maintain', 'zero cc26527volts', 'zero fault']","['00449932mary chef state', '101blow fan door', '1617981heater amps 101blow', '208amp 1617981heater amps', '2106213093115faults zero cc26527volts', 'amps 101blow fan', 'case 00449932mary chef', 'cc26527volts 208amp 1617981heater', 'chef state oven', 'cook cook cycle', 'cook cycle heat', 'cook cycle temperature', 'cycle heat operate', 'cycle temperature lose', 'door filter okoven', 'door open item', 'drop cook cook', 'element okt zero', 'fan door filter', 'fault jordan supervisor', 'filter okoven drop', 'heat operate temperature', 'heater element okt', 'heavy cook cycle', 'item place oven', 'jordan supervisor case', 'lose door open', 'maintain temperature heavy', 'ohm test heater', 'okoven drop cook', 'okt zero fault', 'open item place', 'operate temperature replace', 'oven lose heat', 'oven unable maintain', 'place oven lose', 'probe ohm test', 'replace rtd probe', 'right 2106213093115faults zero', 'rtd probe ohm', 'state oven unable', 'supervisor case 00449932mary', 'temperature heavy cook', 'temperature lose door', 'temperature replace rtd', 'test heater element', 'unable maintain temperature', 'zero cc26527volts 208amp', 'zero fault jordan']"
"Right 2106213093115

Faults 
Zero 

CC
26527

Volts 
208

Amps 16.1
7.9
8.1

Heater Amps 10.1

Blower ok 
Fan ok 
Door ok 
Filter ok

Oven drops out of cook cook cycle to heat back up to operating temperature 

Replace RTD probe 
Ohm test heater element ok
Test systems and find zero faults 

Jordan / Supervisor 

Case 00449932
Mary Chef stated that the oven is unable to maintain temperature during heavy cook cycles. The temperature that it loses when the doors open between each item placed in the oven will cause it to lose heat","['cook', 'temperature', 'cycle', 'door', 'heat', 'lose', 'oven', 'zero', '00449932mary', '101blow', '1617981heater', '208amp', '2106213093115faults', 'amps', 'case', 'cc26527volts', 'chef', 'drop', 'element', 'fan', 'fault', 'filter', 'heater', 'heavy', 'item', 'jordan', 'maintain', 'ohm', 'okoven', 'okt', 'open', 'operate', 'place', 'probe', 'replace', 'right', 'rtd', 'state', 'supervisor', 'test', 'unable']","['00449932mary chef', '101blow fan', '1617981heater amps', '208amp 1617981heater', '2106213093115faults zero', 'amps 101blow', 'case 00449932mary', 'cc26527volts 208amp', 'chef state', 'cook cook', 'cook cycle', 'cycle heat', 'cycle temperature', 'door filter', 'door open', 'drop cook', 'element okt', 'fan door', 'fault jordan', 'filter okoven', 'heat operate', 'heater element', 'heavy cook', 'item place', 'jordan supervisor', 'lose door', 'lose heat', 'maintain temperature', 'ohm test', 'okoven drop', 'okt zero', 'open item', 'operate temperature', 'oven lose', 'oven unable', 'place oven', 'probe ohm', 'replace rtd', 'right 2106213093115faults', 'rtd probe', 'state oven', 'supervisor case', 'temperature heavy', 'temperature lose', 'temperature replace', 'test heater', 'unable maintain', 'zero cc26527volts', 'zero fault']","['00449932mary chef state', '101blow fan door', '1617981heater amps 101blow', '208amp 1617981heater amps', '2106213093115faults zero cc26527volts', 'amps 101blow fan', 'case 00449932mary chef', 'cc26527volts 208amp 1617981heater', 'chef state oven', 'cook cook cycle', 'cook cycle heat', 'cook cycle temperature', 'cycle heat operate', 'cycle temperature lose', 'door filter okoven', 'door open item', 'drop cook cook', 'element okt zero', 'fan door filter', 'fault jordan supervisor', 'filter okoven drop', 'heat operate temperature', 'heater element okt', 'heavy cook cycle', 'item place oven', 'jordan supervisor case', 'lose door open', 'maintain temperature heavy', 'ohm test heater', 'okoven drop cook', 'okt zero fault', 'open item place', 'operate temperature replace', 'oven lose heat', 'oven unable maintain', 'place oven lose', 'probe ohm test', 'replace rtd probe', 'right 2106213093115faults zero', 'rtd probe ohm', 'state oven unable', 'supervisor case 00449932mary', 'temperature heavy cook', 'temperature lose door', 'temperature replace rtd', 'test heater element', 'unable maintain temperature', 'zero cc26527volts 208amp', 'zero fault jordan']"
"Called store. 

Troubleshoot over phone 

Had store reset unit. 

Oven warmed up. 

Unit working as normal. 

Call compote.","['store', 'unit', 'compote', 'normal', 'oven', 'phone', 'reset', 'troubleshoot', 'warm', 'work']","['normal compote', 'oven warm', 'phone store', 'reset unit', 'store reset', 'store troubleshoot', 'troubleshoot phone', 'unit oven', 'unit work', 'warm unit', 'work normal']","['oven warm unit', 'phone store reset', 'reset unit oven', 'store reset unit', 'store troubleshoot phone', 'troubleshoot phone store', 'unit oven warm', 'unit work normal', 'warm unit work', 'work normal compote']"
"208/
Door and filter ok 
LM 8.4
RM 8.2
H 10
BF ok
RF 10-100

Dirty EC clogged vents causing over heating loose Displaying error message on touch screen

Tested unit and all test passed recalibrated screen","['10100dirty', '10bf', '208door', '82h', '84rm', 'cause', 'clogged', 'display', 'ec', 'error', 'filter', 'heating', 'lm', 'loose', 'message', 'okrf', 'pass', 'recalibrate', 'screen', 'screenteste', 'test', 'touch', 'unit', 'vent']","['10100dirty ec', '10bf okrf', '208door filter', '82h 10bf', '84rm 82h', 'cause heating', 'clogged vent', 'display error', 'ec clogged', 'error message', 'filter lm', 'heating loose', 'lm 84rm', 'loose display', 'message touch', 'okrf 10100dirty', 'pass recalibrate', 'recalibrate screen', 'screenteste unit', 'test pass', 'touch screenteste', 'unit test', 'vent cause']","['10100dirty ec clogged', '10bf okrf 10100dirty', '208door filter lm', '82h 10bf okrf', '84rm 82h 10bf', 'cause heating loose', 'clogged vent cause', 'display error message', 'ec clogged vent', 'error message touch', 'filter lm 84rm', 'heating loose display', 'lm 84rm 82h', 'loose display error', 'message touch screenteste', 'okrf 10100dirty ec', 'pass recalibrate screen', 'screenteste unit test', 'test pass recalibrate', 'touch screenteste unit', 'unit test pass', 'vent cause heating']"
"208v

8.00 amps each mag circuit 
17.00 amps mags combined 

11.00 amps heater 

Unit gasket issue 

Upon inspecting unit found that the unit had a worn gasket and needed replacement 

Installed new gasket. Tested unit all test passed at 0 faults","['unit', 'amp', 'gasket', 'mag', '1100', '1700', '208v800', 'circuit', 'combine', 'fault', 'heater', 'inspect', 'instal', 'issue', 'need', 'new', 'pass', 'replacement', 'test', 'wear']","['1100 amp', '1700 amp', '208v800 amp', 'amp heater', 'amp mag', 'circuit 1700', 'combine 1100', 'gasket issue', 'gasket need', 'gasket unit', 'heater unit', 'inspect unit', 'instal new', 'issue inspect', 'mag circuit', 'mag combine', 'need replacement', 'new gasket', 'pass fault', 'replacement instal', 'test pass', 'unit gasket', 'unit test', 'unit unit', 'unit wear', 'wear gasket']","['1100 amp heater', '1700 amp mag', '208v800 amp mag', 'amp heater unit', 'amp mag circuit', 'amp mag combine', 'circuit 1700 amp', 'combine 1100 amp', 'gasket issue inspect', 'gasket need replacement', 'gasket unit test', 'heater unit gasket', 'inspect unit unit', 'instal new gasket', 'issue inspect unit', 'mag circuit 1700', 'mag combine 1100', 'need replacement instal', 'new gasket unit', 'replacement instal new', 'test pass fault', 'unit gasket issue', 'unit test pass', 'unit unit wear', 'unit wear gasket', 'wear gasket need']"
"208
Cc 69069
LM 8.5
RM 8.4
17.2 amps 
H 10.8
BF ok
RF 10-100 ok

Keeps saying ""door open"" will not cook food broken switches 

Tested unit and all test passed","['10100', '108bf', '208cc', '69069lm', '84172', '85rm', 'amp', 'break', 'cook', 'door', 'food', 'okkeep', 'okrf', 'open', 'pass', 'say', 'switch', 'test', 'unit']","['10100 okkeep', '108bf okrf', '208cc 69069lm', '69069lm 85rm', '84172 amp', '85rm 84172', 'amp 108bf', 'break switch', 'cook food', 'door open', 'food break', 'okkeep say', 'okrf 10100', 'open cook', 'say door', 'switch unit', 'test pass', 'unit test']","['10100 okkeep say', '108bf okrf 10100', '208cc 69069lm 85rm', '69069lm 85rm 84172', '84172 amp 108bf', '85rm 84172 amp', 'amp 108bf okrf', 'break switch unit', 'cook food break', 'door open cook', 'food break switch', 'okkeep say door', 'okrf 10100 okkeep', 'open cook food', 'say door open', 'switch unit test', 'unit test pass']"
"208
Cc 69069
LM 8.5
RM 8.4
17.2 amps 
H 10.8
BF ok
RF 10-100 ok

Keeps saying ""door open"" will not cook food broken switches 

Tested unit and all test passed","['10100', '108bf', '208cc', '69069lm', '84172', '85rm', 'amp', 'break', 'cook', 'door', 'food', 'okkeep', 'okrf', 'open', 'pass', 'say', 'switch', 'test', 'unit']","['10100 okkeep', '108bf okrf', '208cc 69069lm', '69069lm 85rm', '84172 amp', '85rm 84172', 'amp 108bf', 'break switch', 'cook food', 'door open', 'food break', 'okkeep say', 'okrf 10100', 'open cook', 'say door', 'switch unit', 'test pass', 'unit test']","['10100 okkeep say', '108bf okrf 10100', '208cc 69069lm 85rm', '69069lm 85rm 84172', '84172 amp 108bf', '85rm 84172 amp', 'amp 108bf okrf', 'break switch unit', 'cook food break', 'door open cook', 'food break switch', 'okkeep say door', 'okrf 10100 okkeep', 'open cook food', 'say door open', 'switch unit test', 'unit test pass']"
nan,['nan'],[],[]
"RightE2S

Faults 
0

Volts 
208v

Amps 
R-8.5
L-8.5

Heater amps 
10.5

Checked EC , arching

Oven has slight arching . Advised partner to order cook plate , tested unit all test passed with zero faults","['0volt', '105checke', '208vamps', 'advise', 'amp', 'arch', 'archingoven', 'cook', 'ec', 'fault', 'order', 'partner', 'pass', 'plate', 'r85l85heater', 'righte2sfault', 'slight', 'test', 'unit', 'zero']","['0volt 208vamps', '105checke ec', '208vamps r85l85heater', 'advise partner', 'amp 105checke', 'arch advise', 'archingoven slight', 'cook plate', 'ec archingoven', 'order cook', 'partner order', 'pass zero', 'plate unit', 'r85l85heater amp', 'righte2sfault 0volt', 'slight arch', 'test pass', 'unit test', 'zero fault']","['0volt 208vamps r85l85heater', '105checke ec archingoven', '208vamps r85l85heater amp', 'advise partner order', 'amp 105checke ec', 'arch advise partner', 'archingoven slight arch', 'cook plate unit', 'ec archingoven slight', 'order cook plate', 'partner order cook', 'pass zero fault', 'plate unit test', 'r85l85heater amp 105checke', 'righte2sfault 0volt 208vamps', 'slight arch advise', 'test pass zero', 'unit test pass']"
"Righte2s

208V

Faults 
0

Amps-16.7
Left Circuit-8.4
Right Circuit-8.3
Heaters-10.7

Checked EC, door open call

Primary door switch wasn’t properly adjusted and would give door open error when closed . Adjusted door switches , tested unit, all test pass without faults.","['door', 'open', 'switch', '0amps167left', 'adjust', 'adjusted', 'callprimary', 'circuit83heaters107checke', 'circuit84right', 'close', 'ec', 'error', 'fault', 'pass', 'properly', 'righte2s208vfault', 'test', 'unit']","['0amps167left circuit84right', 'adjust door', 'adjusted door', 'callprimary door', 'circuit83heaters107checke ec', 'circuit84right circuit83heaters107checke', 'close adjusted', 'door open', 'door switch', 'ec door', 'error close', 'open callprimary', 'open error', 'pass fault', 'properly adjust', 'righte2s208vfault 0amps167left', 'switch properly', 'switch unit', 'test pass', 'unit test']","['0amps167left circuit84right circuit83heaters107checke', 'adjust door open', 'adjusted door switch', 'callprimary door switch', 'circuit83heaters107checke ec door', 'circuit84right circuit83heaters107checke ec', 'close adjusted door', 'door open callprimary', 'door open error', 'door switch properly', 'door switch unit', 'ec door open', 'error close adjusted', 'open callprimary door', 'open error close', 'properly adjust door', 'righte2s208vfault 0amps167left circuit84right', 'switch properly adjust', 'switch unit test', 'test pass fault', 'unit test pass']"
"Righte2s

208V

Faults 
0

Amps-16.4
Left Circuit-8.2
Right Circuit-8.2
Heaters-11.3

Checked EC, constant key press

Reset and recalibrated oven, tested unit, all test pass without faults.","['0amps164left', 'circuit82heaters113checke', 'circuit82right', 'constant', 'ec', 'fault', 'key', 'oven', 'pass', 'pressreset', 'recalibrate', 'righte2s208vfaults', 'test', 'unit']","['0amps164left circuit82right', 'circuit82heaters113checke ec', 'circuit82right circuit82heaters113checke', 'constant key', 'ec constant', 'key pressreset', 'oven unit', 'pass fault', 'pressreset recalibrate', 'recalibrate oven', 'righte2s208vfaults 0amps164left', 'test pass', 'unit test']","['0amps164left circuit82right circuit82heaters113checke', 'circuit82heaters113checke ec constant', 'circuit82right circuit82heaters113checke ec', 'constant key pressreset', 'ec constant key', 'key pressreset recalibrate', 'oven unit test', 'pressreset recalibrate oven', 'recalibrate oven unit', 'righte2s208vfaults 0amps164left circuit82right', 'test pass fault', 'unit test pass']"
